Source,Normalization,Layers,Random State,Accuracy,Process Runtime
ROC+BUF+SYR+ALB,MinMax,2,None,0.9484146,34.03125
ROC+BUF+SYR+ALB,MinMax,2,0,0.9468188,32.96875
ROC+BUF+SYR+ALB,MinMax,2,42,0.9462638,33.375
ROC+BUF+SYR+ALB,MinMax,3,None,0.9484493,33.625
ROC+BUF+SYR+ALB,MinMax,3,0,0.9468188,34.28125
ROC+BUF+SYR+ALB,MinMax,3,42,0.9462638,34.40625
ROC+BUF+SYR+ALB,MinMax,4,None,0.9473045,34.609375
ROC+BUF+SYR+ALB,MinMax,4,0,0.9468188,34.390625
ROC+BUF+SYR+ALB,MinMax,4,42,0.9462638,33.953125
ROC+BUF+SYR+ALB,MinMax,5,None,0.9472351,34.828125
ROC+BUF+SYR+ALB,MinMax,5,0,0.9468188,35.671875
ROC+BUF+SYR+ALB,MinMax,5,42,0.9462638,36.1875
ROC+BUF+SYR+ALB,None,2,None,0.9138278,33.796875
ROC+BUF+SYR+ALB,None,2,0,0.902137,33.578125
ROC+BUF+SYR+ALB,None,2,42,0.9146604,33.4375
ROC+BUF+SYR+ALB,None,3,None,0.9263512,33.6875
ROC+BUF+SYR+ALB,None,3,0,0.9133768,33.96875
ROC+BUF+SYR+ALB,None,3,42,0.9424825,34.421875
ROC+BUF+SYR+ALB,None,4,None,0.94640255,34.203125
ROC+BUF+SYR+ALB,None,4,0,0.94515365,33.765625
ROC+BUF+SYR+ALB,None,4,42,0.9436967,34.59375
ROC+BUF+SYR+ALB,None,5,None,0.9433151,35.890625
ROC+BUF+SYR+ALB,None,5,0,0.9339832,35.25
ROC+BUF+SYR+ALB,None,5,42,0.9421009,35.5
ROC+BUF+SYR+ALB,ZScore,2,None,0.9213557,33.4375
ROC+BUF+SYR+ALB,ZScore,2,0,0.9466454,32.46875
ROC+BUF+SYR+ALB,ZScore,2,42,0.93412197,33.34375
ROC+BUF+SYR+ALB,ZScore,3,None,0.9459169,33.90625
ROC+BUF+SYR+ALB,ZScore,3,0,0.9468188,33.859375
ROC+BUF+SYR+ALB,ZScore,3,42,0.9459516,34.4375
ROC+BUF+SYR+ALB,ZScore,4,None,0.9481371,37.5625
ROC+BUF+SYR+ALB,ZScore,4,0,0.9468188,36.96875
ROC+BUF+SYR+ALB,ZScore,4,42,0.941303,37.21875
ROC+BUF+SYR+ALB,ZScore,5,None,0.9487615,37.046875
ROC+BUF+SYR+ALB,ZScore,5,0,0.9468188,36.40625
ROC+BUF+SYR+ALB,ZScore,5,42,0.9462638,35.625
ROC,MinMax,2,None,0.9450149,19.390625
ROC,MinMax,2,0,0.9468188,19.265625
ROC,MinMax,2,42,0.0537709,18.78125
ROC,MinMax,3,None,0.94674945,20.4375
ROC,MinMax,3,0,0.9468188,19.953125
ROC,MinMax,3,42,0.9462638,20.78125
ROC,MinMax,4,None,0.948484,21.421875
ROC,MinMax,4,0,0.9468188,21.328125
ROC,MinMax,4,42,0.93256086,20.78125
ROC,MinMax,5,None,0.94796365,21.421875
ROC,MinMax,5,0,0.9468188,21.6875
ROC,MinMax,5,42,0.9462638,23.265625
ROC,None,2,None,0.8984944,20.859375
ROC,None,2,0,0.9461597,19.75
ROC,None,2,42,0.9330119,20.390625
ROC,None,3,None,0.9085895,21.890625
ROC,None,3,0,0.9356137,21.90625
ROC,None,3,42,0.94612503,21.796875
ROC,None,4,None,0.93960315,20.96875
ROC,None,4,0,0.9443558,21.0
ROC,None,4,42,0.9449455,20.765625
ROC,None,5,None,0.05331992,22.140625
ROC,None,5,0,0.9468188,21.625
ROC,None,5,42,0.9461944,21.921875
ROC,ZScore,2,None,0.36439326,19.5
ROC,ZScore,2,0,0.38045514,19.703125
ROC,ZScore,2,42,0.94539654,19.40625
ROC,ZScore,3,None,0.91937834,19.953125
ROC,ZScore,3,0,0.86335254,20.6875
ROC,ZScore,3,42,0.42232707,19.96875
ROC,ZScore,4,None,0.83462846,20.578125
ROC,ZScore,4,0,0.89266634,21.21875
ROC,ZScore,4,42,0.94477206,20.828125
ROC,ZScore,5,None,0.94799834,22.5
ROC,ZScore,5,0,0.9162908,21.484375
ROC,ZScore,5,42,0.8307084,21.625
