Source,Normalization,Sequence Length,Accuracy
ROC+BUF+SYR+ALB,MinMax,3,0.9481681931723563
ROC+BUF+SYR+ALB,MinMax,7,0.9225537820957669
ROC+BUF+SYR+ALB,None,3,0.9451498751040799
ROC+BUF+SYR+ALB,None,7,0.944968771686329
ROC+BUF+SYR+ALB,ZScore,3,0.9390785456563975
ROC+BUF+SYR+ALB,ZScore,7,0.9179389312977099
ROC,MinMax,3,0.9465029142381349
ROC,MinMax,7,0.9263705759888966
ROC,None,3,0.9451151817929503
ROC,None,7,0.9451422623178348
ROC,ZScore,3,0.9388703857896198
ROC,ZScore,7,0.9153712699514226
