Source,Normalization,Kernel,Random State,Accuracy
ROC+BUF+SYR+ALB,ZScore,linear,None,0.9578852424894193
ROC+BUF+SYR+ALB,ZScore,linear,0,0.9568792062721154
ROC+BUF+SYR+ALB,ZScore,linear,42,0.9569138971761604
ROC+BUF+SYR+ALB,ZScore,poly,None,0.9609033511413307
ROC+BUF+SYR+ALB,ZScore,poly,0,0.9611114965656005
ROC+BUF+SYR+ALB,ZScore,poly,42,0.959862624019982
ROC+BUF+SYR+ALB,ZScore,rbf,None,0.9638520779851523
ROC+BUF+SYR+ALB,ZScore,rbf,0,0.9621869145909943
ROC+BUF+SYR+ALB,ZScore,rbf,42,0.9613543328939153
ROC+BUF+SYR+ALB,ZScore,sigmoid,None,0.9259696107680566
ROC+BUF+SYR+ALB,ZScore,sigmoid,0,0.9283979740512037
ROC+BUF+SYR+ALB,ZScore,sigmoid,42,0.9274613196419899
ROC+BUF+SYR+ALB,None,linear,None,0.9562547699993061
ROC+BUF+SYR+ALB,None,linear,0,0.9536182612918893
ROC+BUF+SYR+ALB,None,linear,42,0.9534448067716644
ROC+BUF+SYR+ALB,None,poly,None,0.9476514257961562
ROC+BUF+SYR+ALB,None,poly,0,0.9468188440990772
ROC+BUF+SYR+ALB,None,poly,42,0.9462637896343579
ROC+BUF+SYR+ALB,None,rbf,None,0.9467494622909873
ROC+BUF+SYR+ALB,None,rbf,0,0.9468188440990772
ROC+BUF+SYR+ALB,None,rbf,42,0.9462637896343579
ROC+BUF+SYR+ALB,None,sigmoid,None,0.9498716436550336
ROC+BUF+SYR+ALB,None,sigmoid,0,0.9464719350586276
ROC+BUF+SYR+ALB,None,sigmoid,42,0.9458128078817734
ROC+BUF+SYR+ALB,MinMax,linear,None,0.9531325886352598
ROC+BUF+SYR+ALB,MinMax,linear,0,0.9527509886907652
ROC+BUF+SYR+ALB,MinMax,linear,42,0.9525775341705405
ROC+BUF+SYR+ALB,MinMax,poly,None,0.9566710608478457
ROC+BUF+SYR+ALB,MinMax,poly,0,0.955526261014362
ROC+BUF+SYR+ALB,MinMax,poly,42,0.9556997155345869
ROC+BUF+SYR+ALB,MinMax,rbf,None,0.9526469159786304
ROC+BUF+SYR+ALB,MinMax,rbf,0,0.9517102615694165
ROC+BUF+SYR+ALB,MinMax,rbf,42,0.9515368070491917
ROC+BUF+SYR+ALB,MinMax,sigmoid,None,0.9238187747172691
ROC+BUF+SYR+ALB,MinMax,sigmoid,0,0.9237840838132242
ROC+BUF+SYR+ALB,MinMax,sigmoid,42,0.9225005203635607
ROC,ZScore,linear,None,0.9540692430444737
ROC,ZScore,linear,0,0.9542080066606535
ROC,ZScore,linear,42,0.9542426975646985
ROC,ZScore,poly,None,0.9600360785402068
ROC,ZScore,poly,0,0.9579893152015542
ROC,ZScore,poly,42,0.9573301880246999
ROC,ZScore,rbf,None,0.9594810240754874
ROC,ZScore,rbf,0,0.9593769513633525
ROC,ZScore,rbf,42,0.9600013876361618
ROC,ZScore,sigmoid,None,0.941892735724693
ROC,ZScore,sigmoid,0,0.9261430652882814
ROC,ZScore,sigmoid,42,0.9226392839797405
ROC,None,linear,None,0.9532366613473947
ROC,None,linear,0,0.9535835703878444
ROC,None,linear,42,0.9526816068826753
ROC,None,poly,None,0.9480330257406508
ROC,None,poly,0,0.9468188440990772
ROC,None,poly,42,0.9462637896343579
ROC,None,rbf,None,0.947824880316381
ROC,None,rbf,0,0.9468188440990772
ROC,None,rbf,42,0.9462637896343579
ROC,None,sigmoid,None,0.9472004440435717
ROC,None,sigmoid,0,0.9467147713869424
ROC,None,sigmoid,42,0.9460556442100881
ROC,MinMax,linear,None,0.9517449524734615
ROC,MinMax,linear,0,0.9498022618469437
ROC,MinMax,linear,42,0.9489349892458198
ROC,MinMax,poly,None,0.9552834246860473
ROC,MinMax,poly,0,0.953826406716159
ROC,MinMax,poly,42,0.9532019704433498
ROC,MinMax,rbf,None,0.9530978977312149
ROC,MinMax,rbf,0,0.9513286616249219
ROC,MinMax,rbf,42,0.9510858252966072
ROC,MinMax,sigmoid,None,0.924755429126483
ROC,MinMax,sigmoid,0,0.9212516478179421
ROC,MinMax,sigmoid,42,0.9192395753833345
