Source,Normalization,Random State,Accuracy,Process Runtime
ROC+BUF+SYR+ALB,MinMax,None,0.9462985,57.859375
ROC+BUF+SYR+ALB,MinMax,0,0.9468188,55.71875
ROC+BUF+SYR+ALB,MinMax,42,0.9462638,54.6875
ROC+BUF+SYR+ALB,None,None,0.8487477,55.375
ROC+BUF+SYR+ALB,None,0,0.9464719,55.734375
ROC+BUF+SYR+ALB,None,42,0.9458475,55.625
ROC+BUF+SYR+ALB,ZScore,None,0.96055645,56.46875
ROC+BUF+SYR+ALB,ZScore,0,0.9591341,56.8125
ROC+BUF+SYR+ALB,ZScore,42,0.9581628,56.34375
ROC,MinMax,None,0.94605565,24.03125
ROC,MinMax,0,0.9468188,23.671875
ROC,MinMax,42,0.9462638,23.90625
ROC,None,None,0.94678414,23.9375
ROC,None,0,0.9414418,24.203125
ROC,None,42,0.94112957,23.84375
ROC,ZScore,None,0.95791996,23.65625
ROC,ZScore,0,0.9566017,23.46875
ROC,ZScore,42,0.95597726,23.125
