Source,Normalization,Model,Sequence Length,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,MinMax,Bidirectional,3,0.06729176194742759,0.006645372403007729,0.08151915359599686,0.29581003969235026,49.90625
ROC+BUF+SYR+ALB,MinMax,Bidirectional,5,0.05307580189332428,0.006754600306422686,0.0821863754306192,0.2904485039170418,53.46875
ROC+BUF+SYR+ALB,MinMax,Bidirectional,7,0.06109682016669471,0.006705727179123104,0.08188850456030507,0.285112380320376,56.796875
ROC+BUF+SYR+ALB,MinMax,Bidirectional,9,0.04541529949752654,0.006825685890148135,0.08261770930102175,0.29257280039549055,44.984375
ROC+BUF+SYR+ALB,MinMax,Bidirectional,12,0.026025940680895254,0.006975332833069091,0.08351845803814323,0.27797513099230403,54.671875
ROC+BUF+SYR+ALB,MinMax,GRU,3,0.05164824150174874,0.006756829571299344,0.0821999365650567,0.29020469289997525,66.71875
ROC+BUF+SYR+ALB,MinMax,GRU,5,0.06720766661641298,0.006653794879779502,0.08157079673375454,0.2940196404789989,24.078125
ROC+BUF+SYR+ALB,MinMax,GRU,7,0.06534347597233003,0.006675397198494765,0.08170310397099223,0.2861220726263925,66.625
ROC+BUF+SYR+ALB,MinMax,GRU,9,0.07334468435770791,0.006625978930608232,0.08140011628129429,0.2931892874963296,43.984375
ROC+BUF+SYR+ALB,MinMax,GRU,12,0.06271860819918895,0.0067125500966868,0.08193015376945659,0.29405760740617276,32.5
ROC+BUF+SYR+ALB,MinMax,LSTM,3,0.02969450542621177,0.006913245850160457,0.08314593104993447,0.30450052207390305,47.671875
ROC+BUF+SYR+ALB,MinMax,LSTM,5,0.06526588607209616,0.006667645990022405,0.08165565497883416,0.2947491171793262,42.90625
ROC+BUF+SYR+ALB,MinMax,LSTM,7,0.05930261495096789,0.006718541546928483,0.0819667099920967,0.2986997104754671,75.8125
ROC+BUF+SYR+ALB,MinMax,LSTM,9,0.061351975260099945,0.006711731892319336,0.0819251603130524,0.29470456191190847,47.828125
ROC+BUF+SYR+ALB,MinMax,LSTM,12,0.09392323836426097,0.006489071165958018,0.08055477121783673,0.31078291165529637,76.6875
ROC+BUF+SYR+ALB,None,Bidirectional,3,0.014736685261863891,0.007019817531715292,0.0837843513534317,0.17834857205300098,84.09375
ROC+BUF+SYR+ALB,None,Bidirectional,5,-0.018720280711211013,0.007266736169599678,0.08524515334961677,0.2022879449836991,116.59375
ROC+BUF+SYR+ALB,None,Bidirectional,7,0.047188665866717994,0.0068050604120953795,0.08249279006128583,0.25987840040828675,115.4375
ROC+BUF+SYR+ALB,None,Bidirectional,9,0.04407642553207247,0.006835259407437775,0.08267562765070353,0.21027486809818854,101.3125
ROC+BUF+SYR+ALB,None,Bidirectional,12,0.03867297431410033,0.006884758276079045,0.08297444351171658,0.27008631832651203,150.828125
ROC+BUF+SYR+ALB,None,GRU,3,-0.012542451616236239,0.007214176299003652,0.0849363073073209,0.17988397249825328,67.5625
ROC+BUF+SYR+ALB,None,GRU,5,-0.023623791695134955,0.007301713897342599,0.08545006669010036,0.13591980511692348,38.90625
ROC+BUF+SYR+ALB,None,GRU,7,-0.05481047339710332,0.007533547028287268,0.08679600813566986,-0.013887364344069082,30.75
ROC+BUF+SYR+ALB,None,GRU,9,0.02558444883718558,0.0069674848918194095,0.08347146154117231,0.22585638126491347,46.078125
ROC+BUF+SYR+ALB,None,GRU,12,-0.020972714864944342,0.007311924205295352,0.085509790113737,0.11172870647626357,53.96875
ROC+BUF+SYR+ALB,None,LSTM,3,0.030905355684674563,0.006904618767688703,0.08309403569263382,0.2155241874024003,47.390625
ROC+BUF+SYR+ALB,None,LSTM,5,0.05657474553535502,0.006729641639357391,0.08203439302729917,0.24410492837122472,35.03125
ROC+BUF+SYR+ALB,None,LSTM,7,0.03052930567260237,0.006924042993941909,0.08321083459467228,0.24801378349483275,72.3125
ROC+BUF+SYR+ALB,None,LSTM,9,0.02268426040927174,0.006988222470392335,0.08359558882137463,0.2830784200309377,52.96875
ROC+BUF+SYR+ALB,None,LSTM,12,0.07272804510877406,0.0066408652779301565,0.08149150432977757,0.2728889326876185,37.609375
ROC+BUF+SYR+ALB,ZScore,Bidirectional,3,-0.2865536685374386,0.009166455162589808,0.09574160622524466,0.2864275895994609,45.3125
ROC+BUF+SYR+ALB,ZScore,Bidirectional,5,-0.09004760687474445,0.007775528299026534,0.08817895610079841,0.2036865168142364,53.40625
ROC+BUF+SYR+ALB,ZScore,Bidirectional,7,-0.12803533257725963,0.008056525263890873,0.08975814873252942,0.14941516621799156,57.421875
ROC+BUF+SYR+ALB,ZScore,Bidirectional,9,-0.10186993558475321,0.00787883785288029,0.08876281796383151,0.19457238986545114,51.484375
ROC+BUF+SYR+ALB,ZScore,Bidirectional,12,-0.16948131653445864,0.008375501736243894,0.09151776732549748,0.20967719710349295,60.125
ROC+BUF+SYR+ALB,ZScore,GRU,3,-0.02572391241796179,0.007308091751091873,0.08548737772965008,0.289145870214316,34.53125
ROC+BUF+SYR+ALB,ZScore,GRU,5,-0.05610180188533209,0.0075333860607758865,0.08679508085586352,0.2504693354387676,42.15625
ROC+BUF+SYR+ALB,ZScore,GRU,7,-0.013584710406976841,0.007239109086973597,0.08508295415048538,0.2729374155529625,25.96875
ROC+BUF+SYR+ALB,ZScore,GRU,9,-0.015691920516521796,0.007262628457126753,0.08522105641874403,0.27459337973376713,36.828125
ROC+BUF+SYR+ALB,ZScore,GRU,12,0.029992319905693732,0.006946926722074223,0.08334822566842214,0.25622270351381554,25.03125
ROC+BUF+SYR+ALB,ZScore,LSTM,3,-0.06836558477267163,0.0076119057211236395,0.08724623614302017,0.22606371288385785,38.03125
ROC+BUF+SYR+ALB,ZScore,LSTM,5,-0.1669510233669529,0.008324095799616167,0.09123648283234162,0.1972839213853861,41.5
ROC+BUF+SYR+ALB,ZScore,LSTM,7,-0.08729016958564761,0.0077655198090588184,0.08812218681500601,0.25512240601458874,23.65625
ROC+BUF+SYR+ALB,ZScore,LSTM,9,-0.08067576569272283,0.0077272905398872325,0.08790500861661543,0.2781572181484524,23.671875
ROC+BUF+SYR+ALB,ZScore,LSTM,12,0.003991826484031957,0.007133135064796311,0.0844578892987287,0.2738282622105524,24.46875
ROC,MinMax,Bidirectional,3,0.03535394535064462,0.0068729233952319665,0.08290309641522424,0.29385885588634764,89.296875
ROC,MinMax,Bidirectional,5,0.07450781951726848,0.006601721424354408,0.0812509779901412,0.312366356715642,98.5625
ROC,MinMax,Bidirectional,7,0.0754555434409293,0.00660317594382466,0.08125992827848583,0.31227962197602577,92.703125
ROC,MinMax,Bidirectional,9,0.08249096146916646,0.006560579166088431,0.0809974022181479,0.31031442122919856,99.859375
ROC,MinMax,Bidirectional,12,0.09292772035411767,0.006496200790608308,0.08059901234263549,0.32060264631240154,110.34375
ROC,MinMax,GRU,3,0.05928815272654786,0.00670239662738034,0.08186816614154943,0.28747594297666423,69.3125
ROC,MinMax,GRU,5,0.0791441276664484,0.0065686497080462425,0.08104720666405624,0.30140637632248674,68.234375
ROC,MinMax,GRU,7,0.0631634866232218,0.006690966869726585,0.08179833048251403,0.2822888818109275,71.859375
ROC,MinMax,GRU,9,0.07283467077940786,0.006629625744226085,0.08142251374298196,0.28716077337000045,66.71875
ROC,MinMax,GRU,12,0.07785265098654148,0.006604164267986709,0.08126600930270114,0.29385018304191074,67.609375
ROC,MinMax,LSTM,3,0.06026656259432217,0.006695425639381226,0.08182558059299809,0.31978147110938976,70.765625
ROC,MinMax,LSTM,5,0.06730654076830656,0.0066530895906148435,0.08156647344721263,0.3065375601850408,76.515625
ROC,MinMax,LSTM,7,0.07568093358187544,0.006601566188072936,0.08125002269583029,0.3167452415170826,77.015625
ROC,MinMax,LSTM,9,0.07620647684680482,0.006605515899299352,0.08127432496981658,0.3135359853204752,75.046875
ROC,MinMax,LSTM,12,0.07839516675859726,0.006600278920075161,0.08124210066261926,0.3135863440065952,70.828125
ROC,None,Bidirectional,3,0.0770519766879667,0.0065758326916188475,0.08109150813506213,0.31122581167406604,115.515625
ROC,None,Bidirectional,5,0.019670140372350153,0.006992889592932613,0.08362349904741258,0.31235382591653477,111.53125
ROC,None,Bidirectional,7,0.06088092718123128,0.006707269105374393,0.08189791880978657,0.25302617923389464,102.046875
ROC,None,Bidirectional,9,0.07028000125370593,0.0066478927159535775,0.08153461054027043,0.3144501840731536,79.8125
ROC,None,Bidirectional,12,0.08511900183678078,0.006552124672909909,0.08094519548997277,0.3118741725792453,119.625
ROC,None,GRU,3,0.034473472837236674,0.0068791965978300534,0.08294092233529872,0.291648210529412,65.921875
ROC,None,GRU,5,0.05837336539678828,0.006716811722990836,0.08195615732201478,0.2729720433120852,69.84375
ROC,None,GRU,7,0.07272013028936275,0.006622712499574581,0.0813800497638984,0.27274882661733885,67.078125
ROC,None,GRU,9,0.06826348745723199,0.006662311645735959,0.08162298478820754,0.2960851821056191,68.578125
ROC,None,GRU,12,0.07425932367300947,0.00662989868437103,0.08142418979867733,0.2856539641930676,63.71875
ROC,None,LSTM,3,0.07912322232592806,0.006561075452387106,0.0810004657541369,0.2889519702839605,26.890625
ROC,None,LSTM,5,0.09943899203080975,0.006423882368349555,0.08014912581151185,0.31882599983992777,50.046875
ROC,None,LSTM,7,-0.029461298013860215,0.0073525010397478,0.08574672611679002,0.2964523353741332,71.515625
ROC,None,LSTM,9,0.08692959527632382,0.0065288410498865876,0.08080124411100727,0.3035495606735144,73.828125
ROC,None,LSTM,12,0.04319208083963433,0.006852393685028508,0.08277918630325203,0.25030121415043366,46.75
ROC,ZScore,Bidirectional,3,0.049588269531198215,0.006771506487751426,0.08228916385376282,0.3473280048088548,56.203125
ROC,ZScore,Bidirectional,5,0.046331738533298195,0.006802707063573098,0.08247852486297932,0.32210200771444925,48.765625
ROC,ZScore,Bidirectional,7,0.028460497632893933,0.00693881859870951,0.08329957141972287,0.30876345552495726,73.046875
ROC,ZScore,Bidirectional,9,-0.030565491866120675,0.0073689808070477505,0.08584276793677934,0.3037764976294515,128.140625
ROC,ZScore,Bidirectional,12,-0.004331994092114488,0.007192747965577221,0.08481006995385171,0.2896390981762205,69.9375
ROC,ZScore,GRU,3,0.08851994639558902,0.0064941255442983944,0.08058613742014438,0.323445284654161,41.984375
ROC,ZScore,GRU,5,0.07884314500524692,0.006570796677761078,0.08106045076213848,0.30937894141661215,38.15625
ROC,ZScore,GRU,7,0.05000362269938052,0.006784955748540832,0.08237084283009875,0.30849265541495163,59.46875
ROC,ZScore,GRU,9,0.0640820604750979,0.006692210623938328,0.08180593269401876,0.2983362762086668,45.125
ROC,ZScore,GRU,12,0.06144277658916797,0.006721687249810846,0.0819858966518684,0.29917150824391886,22.09375
ROC,ZScore,LSTM,3,0.07516560292352314,0.006589272753199267,0.08117433555748557,0.3249969755595108,32.6875
ROC,ZScore,LSTM,5,0.05797998571888929,0.006719617779165333,0.08197327478614803,0.27861178244290924,64.390625
ROC,ZScore,LSTM,7,0.07525506529880255,0.006604607775940426,0.08126873799894044,0.292018564111165,75.515625
ROC,ZScore,LSTM,9,0.024711123465741225,0.0069737295390070704,0.08350885904505624,0.23932061694677273,76.28125
ROC,ZScore,LSTM,12,0.08865346307564825,0.006526811839071277,0.08078868633089213,0.313515598231295,47.5625
