Source,Normalization,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,MinMax,None,0.11994062442346898,0.007243795022397694,0.08511048714698849,0.35759278116144594,38.859375
ROC+BUF+SYR+ALB,MinMax,0,0.12169357117687984,0.008829051806807073,0.0939630342571326,0.3546659626333667,36.9375
ROC+BUF+SYR+ALB,MinMax,42,0.06956589940121494,0.010945683616762335,0.10462162117250112,0.4108757466479319,37.734375
ROC+BUF+SYR+ALB,None,None,-0.8123661409264602,0.015934924976440692,0.12623361270454353,0.055767610298172704,37.9375
ROC+BUF+SYR+ALB,None,0,-0.6384325527009014,0.01647011272493902,0.12833593699716,0.07592089699578555,37.953125
ROC+BUF+SYR+ALB,None,42,-0.9458229244307068,0.022890779789084586,0.1512969920027645,0.0803108576492572,37.359375
ROC+BUF+SYR+ALB,ZScore,None,0.13294528545078554,0.008984219356727174,0.0947851220220092,0.36864003593345107,37.421875
ROC+BUF+SYR+ALB,ZScore,0,0.08899081464726799,0.009157791665869962,0.09569635137177364,0.3270015739824039,37.234375
ROC+BUF+SYR+ALB,ZScore,42,0.02833759796765445,0.011430695874221346,0.10691443248795433,0.2581178384848367,37.609375
ROC,MinMax,None,0.12156708124094162,0.00933064897204398,0.09659528441929234,0.353484532511524,12.34375
ROC,MinMax,0,0.09426591507938564,0.009104764460930014,0.0954188894345874,0.31117197582073514,12.3125
ROC,MinMax,42,0.11009323634931767,0.01046891754834505,0.10231772841665832,0.35789306960556366,12.6875
ROC,None,None,0.009513688223124595,0.008333499868747643,0.09128800506500097,0.19665613881958627,12.171875
ROC,None,0,-0.0009864447197769355,0.010062275406755958,0.10031089375913245,0.20166323676731085,12.265625
ROC,None,42,-0.014387596836886063,0.011933317676769294,0.10923972572635512,0.21739245745149186,12.234375
ROC,ZScore,None,0.10324665604867345,0.008280771090315945,0.0909987422457912,0.3397008592898246,12.296875
ROC,ZScore,0,0.07710118154530021,0.009277310529874933,0.09631879634772712,0.3268985604283416,12.515625
ROC,ZScore,42,0.12391791777427907,0.010306283151257953,0.10151986579609901,0.35271552251056676,12.109375
